year,location_name,cause_name,number_of_deaths,percent_of_deaths
2012,Global,Diabetes mellitus,1230728.571,0.023095602
2012,Global,Non-communicable diseases,37088538.02,0.695991025
2012,Global,Stroke,6357597.101,0.119301923
2012,Malaysia,Cardiovascular diseases,47508.68002,0.348426415
2012,Malaysia,Diabetes mellitus,3300.22451,0.024203868
2012,Malaysia,Non-communicable diseases,99863.80808,0.732394296
2012,Malaysia,Stroke,16719.88736,0.122623619
2013,Global,Cardiovascular diseases,17050002.24,0.317171194
2013,Global,Diabetes mellitus,1272197.924,0.023666012
2013,Global,Non-communicable diseases,37816962.23,0.703486709
2013,Global,Stroke,6407280.814,0.119186319
2013,Malaysia,Cardiovascular diseases,48371.25162,0.348958125
2013,Malaysia,Diabetes mellitus,3388.778271,0.024441035
2013,Malaysia,Non-communicable diseases,101954.402,0.73550498
2013,Malaysia,Stroke,16984.73935,0.122531451
2014,Global,Cardiovascular diseases,17340462.9,0.31931038
2014,Global,Diabetes mellitus,1325614.851,0.024410412
2014,Global,Non-communicable diseases,38568401.09,0.710203965
2014,Global,Stroke,6478642.258,0.119294307
2014,Malaysia,Cardiovascular diseases,50315.55134,0.347546937
2014,Malaysia,Diabetes mellitus,3584.281265,0.024757489
2014,Malaysia,Non-communicable diseases,106508.8521,0.735691208
2014,Malaysia,Stroke,17697.17633,0.122241977
2015,Global,Cardiovascular diseases,17580615.62,0.321158388
2015,Global,Diabetes mellitus,1375408.358,0.025126055
2015,Global,Non-communicable diseases,39264135.95,0.717248162
2015,Global,Stroke,6559562.279,0.119821856
2015,Malaysia,Cardiovascular diseases,54703.31504,0.350581325
2015,Malaysia,Diabetes mellitus,3986.102936,0.025545616
2015,Malaysia,Non-communicable diseases,115287.7422,0.73885872
2015,Malaysia,Stroke,19126.86149,0.122578982
2016,Global,Cardiovascular diseases,17912408.74,0.323713026
2016,Global,Diabetes mellitus,1427131.544,0.025791872
2016,Global,Non-communicable diseases,40109561.34,0.724865824
2016,Global,Stroke,6684422.717,0.120793099
2016,Malaysia,Cardiovascular diseases,56376.0192,0.351478351
2016,Malaysia,Diabetes mellitus,4143.352678,0.025831766
2016,Malaysia,Non-communicable diseases,119098.3289,0.742523942
2016,Malaysia,Stroke,19695.61518,0.122793073
2017,Global,Cardiovascular diseases,18160330.87,0.32535516
2017,Global,Diabetes mellitus,1476713.817,0.026457555
2017,Global,Non-communicable diseases,40812899.03,0.731197005
2017,Global,Stroke,6784646.01,0.121542454
2017,Malaysia,Cardiovascular diseases,58694.81539,0.352322002
2017,Malaysia,Diabetes mellitus,4378.189436,0.026280414
2017,Malaysia,Non-communicable diseases,124296.0789,0.746100794
